42	accountspreparedunderhistoricalcostconventioninaccordancewithfrse	2503
7	intangiblefixedassetsamortisationchargedinperiod	2390
9	tangiblefixedassetsdisposals	2300
29	prepaymentsaccruedincomenotexpressedwithincurrentassetsub-total	2282
15	companyentitledtoexemptionundersection249aa1companiesact1985	2026
19	otheraggregatereserves	2002
9	descriptionaccountants	1992
13	tangiblefixedassetsdepreciationdisposals	1986
5	addressline3	1889
29	accrualsdeferredincome	1624
22	positionadditionalapprovingperson	1599
65	nameadditionalapprovingperson	1599
90	sharepremiumaccount	1440
10	investmentscurrentassets	1357
16	totalinvestmentsfixedassets	1242
14	othercreditorsduewithinoneyear	1230
47	revaluationreserve	1210
26	taxationsocialsecurityduewithinoneyear	1071
10	tangibleassetsfreetextnote	913
88	secureddebts	823
7	intangiblefixedassetsadditions	771
73	bankloansoverdraftsafteroneyear	745
21	tradecreditorswithinoneyear	702
27	otherdebtors	623
16	tradedebtors	615
12	namebankers	512
10	intangibleassetsfreetextnote	458
83	obligationsunderfinanceleasehirepurchasecontractsafteroneyear	458
7	tangiblefixedassetsincreasedecreasefromrevaluations	411
22	foreignexchangerate	386
42	bankloansoverdraftswithinoneyear	372
18	tangiblefixedassetsincreasedecreasefromtransfersbetweenitems	326
4	companyhasactedasanagentduringperiod	290
40	othercreditorsafteroneyear	273
17	loansfromdirectors	208
14	prepaymentsaccruedincomecurrentasset	180
17	creditorsdueafteroneyearfreetextnote	173
19	debtorsfreetextnote	155
61	totalfixedassetscostorvaluation	150
10	intangiblefixedassetsdisposals	150
35	creditorsduewithinoneyearfreetextnote	145
60	totalfixedassetsdepreciation	136
53	valuenonequitysharesauthorised	124
14	intangiblefixedassetsamortisationondisposals	121
56	parvaluenonequityshare	118
29	instalmentdebtsfallingdueafter5years	118
51	typenonequityshare	117
30	valuenonequitysharesallotted	101
43	othertangiblefixedassetcostorvaluation	97
36	othertangiblefixedasset	97
40	othertangiblefixedassetdepreciation	95
62	sharecapitalfreetextnote	93
10	intangiblefixedassetsrevaluation	93
61	totalfixedassetsfreetextnote	93
30	investmentsfixedassetsfreetextnote	93
71	non-instalmentdebtsfallingdueafter5years	89
9	intangiblefixedassetsincreasedecreasefromtransfersbetweenitems	77
75	totalfixedassetsdepreciationchargeinperiod	70
47	numbernonequitysharesauthorised	67
8	calledupsharecapitalnotpaidcurrentasset	58
50	numbernonequitysharesallotted	57
74	nametypetangiblefixedasset	51
69	othertangiblefixedassetdepreciationchargeforperiod	50
76	totalfixedassetsadditions	47
69	othertangiblefixedassetadditions	41
22	accrualsdeferredincomewithinoneyear	39
54	plantmachinerydepreciation	38
59	plantmachinery	38
42	plantmachinerycostorvaluation	38
82	othertangiblefixedassetdepreciationdisposals	37
46	othertangiblefixedassetdisposals	37
75	fixturesfittingstoolsequipment	35
55	fixturesfittingstoolsequipmentcostorvaluation	35
60	fixturesfittingstoolsequipmentdepreciation	35
15	namesolicitors	24
43	plantmachinerydepreciationchargeforperiod	20
46	plantmachinerydisposals	20
46	sharesdirectororexecutive	20
25	plantmachineryadditions	20
50	plantmachinerydepreciationdisposals	20
37	descriptionsharesordebentures	19
52	fixturesfittingstoolsequipmentdisposals	19
32	fixturesfittingstoolsequipmentdepreciationdisposals	19
63	fixturesfittingstoolsequipmentdepreciationchargeforperiod	19
55	fixturesfittingstoolsequipmentadditions	19
53	totalfixedassetsdisposals	11
31	frsseversiondate	11
65	totalfixedassetsdepreciationdisposals	11
56	entitybusinessdescription	11
39	directororexecutivesname	11
57	landbuildingsdepreciation	11
52	landbuildingscostorvaluation	11
87	landbuildings	11
55	totalfixedassetinvestmentscostorvaluation	8
52	landbuildingsdisposals	6
56	landbuildingsdepreciationdisposals	6
55	landbuildingsdepreciationchargeforperiod	6
26	landbuildingsadditions	6
8	country	6
3	vatregistrationnumber	1
54	totalfixedassetsrevaluation	1
56	totalfixedassetinvestmentsadditions	1
